bloc,hassaniya_ar,hassaniya_norm,pulaar,english,sentiment,nuance
ethno,برنامج ليبر ال عاد لاعمال الحر ينزاد يوم بعد,برنامج ليبر ال عاد لاعمال الحر ينزاد يوم بعد,,"A camel-herder could stop with a friend and chat as long as they liked, with no one obstructed by them.",neutre,non
ethno,يوم: كثرت المدارس الحر، و المستشفيات ، والمؤسسات,يوم: كثرت المدارس الحر، و المستشفيات ، والمؤسسات,,Unemployment in Nouakchott.,negatif,non
ethno,التجاري، و لا اتل حد عند عمل خاص بيه ولا اتلات,التجاري، و لا اتل حد عند عمل خاص بيه ولا اتلات,,"It is understandable that Nouakchott is full of unemployment, which is matched by the fact that Nouakchott is the center of work in Mauritania.",negatif,oui
ethno,الحكومة عندها شي خاص بيها ، و عاد كل حد يعمل,الحكومه عندها شي خاص بيها ، و عاد كل حد يعمل,,"It has the government, the ministries, the administrations, the big companies, the workers and the self-employed, and the schools that graduate the largest number of students.",neutre,non
ethno,اعلى حسب طاقت ، و اكثريت الناس عادت اتمارس,اعلي حسب طاقت ، و اكثريت الناس عادت اتمارس,,"Everyone knows money and its value, unlike the nomads, in work and in living.",neutre,non
ethno,هاذ النوع من العمل <<الا ج لاه إعلم العوم غرگ >>,هاذ النوع من العمل <<الا ج لاه اعلم العوم غرگ >>,,"Since Nouakchott has become so demanding, finding work is hard, and unemployment has grown in the streets and outside the companies and administrations.",negatif,non
ethno,انواكشوط التجارة,انواكشوط التجاره,,"And in the houses, you rarely find a house without about twenty unrelated men living in it who are not its sons.",negatif,oui
ethno,إگول المثل : <<الراص إلين إعود عينين يخلع >>,اگول المثل : <<الراص الين اعود عينين يخلع >>,,"These men depend on one man who goes about town until lunch or supper, returns home to eat, drink and sleep until morning, never relying on themselves.",negatif,non
ethno,هاذ المثل انطبق اعلى انواكشوط ال الا عاد آباتيگ,هاذ المثل انطبق اعلي انواكشوط ال الا عاد اباتيگ,,And he proves the proverb: 'The thief's mother does nothing but ululate (pretend joy).',negatif,non
ethno,نجبر في كل دار بتيگ و في كل حي سوق و في كل شارع,نجبر في كل دار بتيگ و في كل حي سوق و في كل شارع,,Transport in Nouakchott.,neutre,non
ethno,ياسر من لباتيگ و اطويبلات و تجبر في كل خيمة تاجر,ياسر من لباتيگ و اطويبلات و تجبر في كل خيمه تاجر,,Every morning many people stand by the roadsides waiting for something to ride.,neutre,non
ethno,و ال تاجرة. معناه ان الناس عادت اكثريتها تجار,و ال تاجره. معناه ان الناس عادت اكثريتها تجار,,"Workers who have no cars of their own and whose companies do not provide transport, and students, are forced to set out early to find a means of transport.",neutre,oui
ethno,و انواكشوط لاه إعود آباتيگ ويخلع طبعا كيفت الراص,و انواكشوط لاه اعود اباتيگ ويخلع طبعا كيفت الراص,,"Usually there is only the minibus, mostly full, with people hanging off the back.",negatif,oui
ethno,إلا عاد عينين.,الا عاد عينين.,,The means of transport in Nouakchott are not all alike and vary with the passenger's means: there are fine cars owned only by the well-off.,neutre,non
ethno,من خصوصيات التجارة في انواكشوط ان التاجر ما إمارس,من خصوصيات التجاره في انواكشوط ان التاجر ما امارس,,There are taxis (tout-droit) that run only on paved roads and have their own routes; there are cart-donkeys ridden only by the poor in the shantytowns.,neutre,non
ethno,شكل واحد من التجارة : تجبر التاجر أبيع ادو في,شكل واحد من التجاره : تجبر التاجر ابيع ادو في,,"And there are horses that pull carts and have their own stands, and everyone makes do with his own means.",neutre,non
ethno,البتيگ وإبيع فيه الباس المواد الغذائيه آلات اديار,البتيگ وابيع فيه الباس المواد الغذائيه الات اديار,,The proverb says: 'Everyone's situation eventually catches up with another's.',neutre,non
ethno,احديد الوتات وكل شي ، وتبحر گاع يكان مل بتيگ وال,احديد الوتات وكل شي ، وتبحر گاع يكان مل بتيگ وال,,The problems of unemployment in Nouakchott.,negatif,non
ethno,طيب وال مكانسي.,طيب وال مكانسي.,,The unemployed in Nouakchott have many problems.,negatif,non
ethno,الميزة الثانية ظاهره ينگالها <<أتبتيب>>,الميزه الثانيه ظاهره ينگالها <<اتبتيب>>,,"For someone seeking work in a company or administration, a diploma is not enough; many social conventions matter.",negatif,oui
ethno,معناها ان الناس اتبيع و تشري ماه بالفظة ومرسنديس,معناها ان الناس اتبيع و تشري ماه بالفظه ومرسنديس,,"Among them: one must know someone in the company or administration, or have a relative working there to push for the job, or be the son of a great household, or know an important person to mediate with the company or government.",negatif,oui
ethno,ما فرظ اعليه إعود اجديد.,ما فرظ اعليه اعود اجديد.,,"Women are not like men: a woman lives off her family before marriage, and once married her husband is obliged to provide everything she wants.",neutre,non
ethno,قرية اغلمبيت,قريه اغلمبيت,,"It is the men who must work, since a man who does not work has no standing, and is expected to keep a household where people are welcomed.",neutre,non
ethno,اغلمبيت قرية اصغير بينها امع تجگجه عاصمت تگانت ٧٠ كيل,اغلمبيت قريه اصغير بينها امع تجگجه عاصمت تگانت ٧٠ كيل,,That is why the men of Nouakchott are intent on work and on rising in position.,positif,oui
ethno,گبلتها . احذاها من شرگ انبط و ازوير من ساحل و گلب اغشگوگيت,گبلتها . احذاها من شرگ انبط و ازوير من ساحل و گلب اغشگوگيت,,Proverb: 'He who is patient reaches the shade.',positif,non
ethno,من تل و اگليب اگرافيف من گبل .,من تل و اگليب اگرافيف من گبل .,,On the night of 13 January at exactly midnight the municipal campaign was launched.,neutre,non
ethno,فما يتعلق باتراب تكوينها الجلوجي :,فما يتعلق باتراب تكوينها الجلوجي :,,"People poured out of their houses and stood on the roads and in the neighborhoods, and voices rose.",neutre,non
ethno,القرية < الواد> مبني اعلى احواشي واد اكبير  ينگال,القريه < الواد> مبني اعلي احواشي واد اكبير ينگال,,"Minutes later thousands of cars surged through the streets carrying people shouting, honking and ululating until the crowds were deafening.",neutre,oui
ethno,الواد لبيظ اكبر واد في تگانت .,الواد لبيظ اكبر واد في تگانت .,,And no one could hear anything at all for the whole of that night.,negatif,oui
ethno,و اترابها امغطيينها لحجار و اصدر و انخل و فيها الزيرات و,و اترابها امغطيينها لحجار و اصدر و انخل و فيها الزيرات و,,"By morning we awoke to all the women having set up their tents (their offices), furnished and fitted with cushions and a tape player, hung with a flag, loudspeakers and the emblem of their favorite party.",neutre,non
ethno,الگيع و لديات اسغيرين .,الگيع و لديات اسغيرين .,,"There was endless music, noise and dancing, and the gatherings stayed in the tents where people drank tea and sang.",positif,oui
ethno,سكانها قدر ٢٠٠ اسره بيظان كاملين و لغتهم الحسانية امحافظين,سكانها قدر ٢٠٠ اسره بيظان كاملين و لغتهم الحسانيه امحافظين,,I heard verses traded between two parties: 'You were never all in favor; will you ever be content? You will stay in opposition until the Day of Judgment.',negatif,oui
ethno,اعلا يايسر من عادات آهل البادية القديمين .,اعلا يايسر من عادات اهل الباديه القديمين .,,"If you remain in opposition and grow weary in it forever, we are the winners, well before the Day of Judgment.'",neutre,oui
source_brute,اقتصادهم أهم ال فيه اغريس انخل كل خيمه عندها ازريب من انخل,اقتصادهم اهم ال فيه اغريس انخل كل خيمه عندها ازريب من انخل,,,,non
source_brute,تحرث تحت الگمح و الخضر و إعدل احريثت لخريف إلين اتج اسباب,تحرث تحت الگمح و الخضر و اعدل احريثت لخريف الين اتج اسباب,,,,non
source_brute,و تتمعلم لارض و يشرب الگيع.,و تتمعلم لارض و يشرب الگيع.,,,,non
source_brute,اتلوصيص في انواكشوط,اتلوصيص في انواكشوط,,,,non
source_brute,اتلوصيص ظاهرة امحالي ولا كانت ياسر في مجتمعنا البدوي وظرك,اتلوصيص ظاهره امحالي ولا كانت ياسر في مجتمعنا البدوي وظرك,,,,non
source_brute,عادت ياسر في انواكشوط، وخاصة في هذ الاون ال فايت، امع اظهور,عادت ياسر في انواكشوط، وخاصه في هذ الاون ال فايت، امع اظهور,,,,non
source_brute,أجمايع << دخل شي >>.,اجمايع << دخل شي >>.,,,,non
source_brute,اهل دخل شي هذ الا اجمايع فيهم انواع الناس كامل رجال واعليات,اهل دخل شي هذ الا اجمايع فيهم انواع الناس كامل رجال واعليات,,,,non
source_brute,وإج في كل الصفات مر راكبين الوتات و مر امگوطرين ، وفي اكثر,واج في كل الصفات مر راكبين الوتات و مر امگوطرين ، وفي اكثر,,,,non
source_brute,احوالهم ابوتاتهم و مسلحين و عندهم كل ال إگد يفصل فيه.,احوالهم ابوتاتهم و مسلحين و عندهم كل ال اگد يفصل فيه.,,,,non
source_brute,امن اعجب ارواياتهم ال گط عدل : خالگ راجل مل بتيگ تم اعگاب الليل,امن اعجب ارواياتهم ال گط عدل : خالگ راجل مل بتيگ تم اعگاب الليل,,,,non
source_brute,حوالي الوحده إلين جات شيباني رافد مخلت طلاب الصدگ و گالت ل بنها أدور,حوالي الوحده الين جات شيباني رافد مخلت طلاب الصدگ و گالت ل بنها ادور,,,,non
source_brute,ابليد ترگد فيها لان اهلها ابعيد ولا اتلات اتگد اتگيسهم ، شك ان,ابليد ترگد فيها لان اهلها ابعيد ولا اتلات اتگد اتگيسهم ، شك ان,,,,non
source_brute,ارواي اعل بابها ودخلها امعاه ، وهي عاطي ميعاد لاصحابها إلين,ارواي اعل بابها ودخلها امعاه ، وهي عاطي ميعاد لاصحابها الين,,,,non
source_brute,إج تفتح عنهم اعگب الراجل افطن الها ، << مل اسريگ فيه احريگ >>,اج تفتح عنهم اعگب الراجل افطن الها ، << مل اسريگ فيه احريگ >>,,,,non
source_brute,و اعتن اعليها وردت اعليه لخبار ، و تلفن اعلى الشرطه و حكم,و اعتن اعليها وردت اعليه لخبار ، و تلفن اعلي الشرطه و حكم,,,,non
source_brute,الجماعة ، ولحگوها فيها لعليات والرجال وكلهم <<اصرگ من إگند>>,الجماعه ، ولحگوها فيها لعليات والرجال وكلهم <<اصرگ من اگند>>,,,,non
source_brute,ولا إقمظ حد عين اعلى شي ما صركوه .,ولا اقمظ حد عين اعلي شي ما صركوه .,,,,non
source_brute,حاشيت لبحر في انواكشوط,حاشيت لبحر في انواكشوط,,,,non
source_brute,حد امش شور حاشيت لبحر يجبر ياسر من شي زين,حد امش شور حاشيت لبحر يجبر ياسر من شي زين,,,,non
source_brute,الزيرات المصگل و لمواج ال تتلاقف والناس ال جاي,الزيرات المصگل و لمواج ال تتلاقف والناس ال جاي,,,,non
source_brute,من كل ازرورت الدشر بعضها إدور الگروح و بعضها,من كل ازرورت الدشر بعضها ادور الگروح و بعضها,,,,non
source_brute,حوات و ياسر منها الا سدار . وال غريب في الشاطئ,حوات و ياسر منها الا سدار . وال غريب في الشاطئ,,,,non
source_brute,ان اهل عندهم ميزات خاصة و لغة خاص : الحوات,ان اهل عندهم ميزات خاصه و لغه خاص : الحوات,,,,non
source_brute,إظل لابسين الباس اصفر و يدخل في لبحر راكبين افاليگ,اظل لابسين الباس اصفر و يدخل في لبحر راكبين افاليگ,,,,non
source_brute,من اجلف و إجيب الحوت وإبيعوه للعليات .,من اجلف و اجيب الحوت وابيعوه للعليات .,,,,non
source_brute,ولاحظت ان الحوات ولعليات ال يشتغل اعلى حاشيت لبحر,ولاحظت ان الحوات ولعليات ال يشتغل اعلي حاشيت لبحر,,,,non
source_brute,عاداتهم ولغتهم سنگالي و هم موريتانيين .,عاداتهم ولغتهم سنگالي و هم موريتانيين .,,,,non
source_brute,سولت بيظان اكبير عن سبب ذاك گال : << ياول ال ما,سولت بيظان اكبير عن سبب ذاك گال : << ياول ال ما,,,,non
source_brute,شاف اسم لا اتنعتول >> و << الزرگ مالها الا اتراب >> لا,شاف اسم لا اتنعتول >> و << الزرگ مالها الا اتراب >> لا,,,,non
source_brute,إورطوك إدور يعگب يتندم اعلى ذاك .,اورطوك ادور يعگب يتندم اعلي ذاك .,,,,non
source_brute,لحكوه إِنَازَع .,لحكوه انازع .,,,,non
source_brute,خالگ راجل حكيم في الزمن اللول كان ياسر من لموال,خالگ راجل حكيم في الزمن اللول كان ياسر من لموال,,,,non
source_brute,وعاش ياسر من الزمن و كثر عند لولاد . إلين اتل إموت,وعاش ياسر من الزمن و كثر عند لولاد . الين اتل اموت,,,,non
source_brute,عيط لولاد كاملين و اطلب منهم حزم من لحطب و,عيط لولاد كاملين و اطلب منهم حزم من لحطب و,,,,non
source_brute,جابوهال ، گام وعيط الول لكبير امتن اولاد كاملين گال,جابوهال ، گام وعيط الول لكبير امتن اولاد كاملين گال,,,,non
source_brute,اكسر ل هاذ حزمت لحطب ، حاول لولد مرات ولا گد يكسر الحزمة,اكسر ل هاذ حزمت لحطب ، حاول لولد مرات ولا گد يكسر الحزمه,,,,non
source_brute,گالهم بوهم فرگوها  وكلكم يكسر منها عود وواحد گام و,گالهم بوهم فرگوها وكلكم يكسر منها عود وواحد گام و,,,,non
source_brute,فرگوها وكلهم اگصر عود.,فرگوها وكلهم اگصر عود.,,,,non
source_brute,گالهم بوهم يا اولاد اسمعون << إشوف الشيبان ال تاكي,گالهم بوهم يا اولاد اسمعون << اشوف الشيبان ال تاكي,,,,non
source_brute,ال ما إشوف الصب الواگف >> << سال امجرب لا اتسال اطبيب >>,ال ما اشوف الصب الواگف >> << سال امجرب لا اتسال اطبيب >>,,,,non
source_brute,إلين تتفرگ وكلكم يمشي وحد لاه اتعود كيفت حزمت لحطب,الين تتفرگ وكلكم يمشي وحد لاه اتعود كيفت حزمت لحطب,,,,non
source_brute,ال فرگت وكلكم اگصر منها عود وإلين إتم في ابليد ما إگد شي,ال فرگت وكلكم اگصر منها عود والين اتم في ابليد ما اگد شي,,,,non
source_brute,يقلبكم يا اولاد اموصيكم الا اعلى الاتحاد واعرفون,يقلبكم يا اولاد اموصيكم الا اعلي الاتحاد واعرفون,,,,non
source_brute,<< اشهاب واحد ما يگد >> و<< ايد وحد ما اتصفگ >>.,<< اشهاب واحد ما يگد >> و<< ايد وحد ما اتصفگ >>.,,,,non
source_brute,اعليات انواكشوط ولعصار,اعليات انواكشوط ولعصار,,,,non
source_brute,اگليل من اعليات انواكشوط ال ماه في عصر .,اگليل من اعليات انواكشوط ال ماه في عصر .,,,,non
source_brute,العصر تنگال لاجماعة من لعليات متگاد في السن,العصر تنگال لاجماعه من لعليات متگاد في السن,,,,non
source_brute,جامعها شي اعل يم نادي برئيست وعندهم كيس,جامعها شي اعل يم نادي برئيست وعندهم كيس,,,,non
source_brute,يجمع فيه مبلغ من الفظة يدفعوها كل اسبوع .,يجمع فيه مبلغ من الفظه يدفعوها كل اسبوع .,,,,non
source_brute,يجابر دائما يوم الجمعة عند وحد منهم .,يجابر دائما يوم الجمعه عند وحد منهم .,,,,non
source_brute,لعليات لكبارات عصرهم وحد وظيفت انهم اعود,لعليات لكبارات عصرهم وحد وظيفت انهم اعود,,,,non
source_brute,متعاونين امبينهم إلى نفست وحد منهم و اتلات,متعاونين امبينهم الي نفست وحد منهم و اتلات,,,,non
source_brute,اتسم اولدها إجوها وإعاونوها في لسم إنظموه,اتسم اولدها اجوها واعاونوها في لسم انظموه,,,,non
source_brute,وإجبولها الفظة وإعدل احتفال . ودائما إناد إگيو,واجبولها الفظه واعدل احتفال . ودائما اناد اگيو,,,,non
source_brute,و إطيب لوكيل للناس السلام .,و اطيب لوكيل للناس السلام .,,,,non
source_brute,بالنسبة لاشويبات الهجالات وظيفت العصر انهم,بالنسبه لاشويبات الهجالات وظيفت العصر انهم,,,,non
source_brute,يجابر و إشد لخبار و إلى اتخيمت وحد منهم,يجابر و اشد لخبار و الي اتخيمت وحد منهم,,,,non
source_brute,إجوها كاملات وإنظمولها عرسها و إعاون فيه,اجوها كاملات وانظمولها عرسها و اعاون فيه,,,,non
source_brute,أهلها و دائما عصرهم يلبس الباس مساوي و,اهلها و دائما عصرهم يلبس الباس مساوي و,,,,non
source_brute,يتوالاو اتسرف اشراب و لوكيل والتصفاگ وارگيص,يتوالاو اتسرف اشراب و لوكيل والتصفاگ وارگيص,,,,non
source_brute,ولغن عند العرس .,ولغن عند العرس .,,,,non
source_brute,العرس ولسم وجگوار في انواكشوط,العرس ولسم وجگوار في انواكشوط,,,,non
source_brute,جگوار كلم سحري مگبوظ من اسم جاگوار فرنسا في حرب,جگوار كلم سحري مگبوظ من اسم جاگوار فرنسا في حرب,,,,non
source_brute,الصحر عند امنين كان إگيو إحامر صوت الطيار ابگتار,الصحر عند امنين كان اگيو احامر صوت الطيار ابگتار,,,,non
source_brute,وعادت خبط ورگص بلا مثيل .,وعادت خبط ورگص بلا مثيل .,,,,non
source_brute,و من ذيك الساعة إلى اليوم ما اثل يخلگ في انواكشوط,و من ذيك الساعه الي اليوم ما اثل يخلگ في انواكشوط,,,,non
source_brute,وال وحد امن ادشور لكبارات عرس ولا اسم ما عند فرقة,وال وحد امن ادشور لكبارات عرس ولا اسم ما عند فرقه,,,,non
source_brute,فيها خباط گتار وفيها گورجگينات <<الرجال المستنثيين>>,فيها خباط گتار وفيها گورجگينات <<الرجال المستنثيين>>,,,,non
source_brute,الْمَحِدِّنْ انْفَنْ ما انْوَحَلْ !,المحدن انفن ما انوحل !,,,,non
source_brute,وعاد الاحتفال ال ذنبت ينگال جگوار وتجبر لعليات دائما,وعاد الاحتفال ال ذنبت ينگال جگوار وتجبر لعليات دائما,,,,non
source_brute,شادين اخبار ادون منها البارح كانت اجماع من اشويبات,شادين اخبار ادون منها البارح كانت اجماع من اشويبات,,,,non
source_brute,والكهلات شادين لخبار : الكهلات إگول ان ازين زمنهم,والكهلات شادين لخبار : الكهلات اگول ان ازين زمنهم,,,,non
source_brute,واشويبات إگول ان ازين زمنهم ال فيه جگوار والحيات,واشويبات اگول ان ازين زمنهم ال فيه جگوار والحيات,,,,non
source_brute,المتقدم و جاوبتهم وحد من لعليات بالمثل التالي :,المتقدم و جاوبتهم وحد من لعليات بالمثل التالي :,,,,non
source_brute,<<محدن انغن ما انزحل>>,<<محدن انغن ما انزحل>>,,,,non
source_brute,سوق الحيوانات في انواكشوط,سوق الحيوانات في انواكشوط,,,,non
source_brute,هون في انواكشوط سوق اكبِير في كبت المربط ، املان من لغنم ؛,هون في انواكشوط سوق اكبير في كبت المربط ، املان من لغنم ؛,,,,non
source_brute,لمعيز و انعاج و لكباش وفي هذ ليام ال گدام العيد انزاد,لمعيز و انعاج و لكباش وفي هذ ليام ال گدام العيد انزاد,,,,non
source_brute,الحيوان في السوق وكثر زوار السوق كل حد إدور كبش إعيد بيه,الحيوان في السوق وكثر زوار السوق كل حد ادور كبش اعيد بيه,,,,non
source_brute,وحدين يشر اكباش اكبار بياسر من الفظة وال يشري نعج وال عنز,وحدين يشر اكباش اكبار بياسر من الفظه وال يشري نعج وال عنز,,,,non
source_brute,اهين من ذاك ، وحدين من الناس عندهم إكليانهم يسلف من عندهم.,اهين من ذاك ، وحدين من الناس عندهم اكليانهم يسلف من عندهم.,,,,non
source_brute,حد ادخل السوق اليوم يسمع ياسر من اتساويم والطلب و التشفع,حد ادخل السوق اليوم يسمع ياسر من اتساويم والطلب و التشفع,,,,non
source_brute,هذ إدور الصوگ ينتگص عنهم وذوك إدور نوع اسمن وال يختير,هذ ادور الصوگ ينتگص عنهم وذوك ادور نوع اسمن وال يختير,,,,non
source_brute,النعج وال يختير العنز وال يختير الكبش.,النعج وال يختير العنز وال يختير الكبش.,,,,non
source_brute,كان راجلين يتراوغ واحد إدور اسلف ، و إكرر اعلى صاحب :,كان راجلين يتراوغ واحد ادور اسلف ، و اكرر اعلي صاحب :,,,,non
source_brute,<< ال ابلا دين ابلا رزق >>,<< ال ابلا دين ابلا رزق >>,,,,non
source_brute,گال التيفاي : << الدين ساعت اگبيظ هز لگفف ،وساعت اخلاص,گال التيفاي : << الدين ساعت اگبيظ هز لگفف ،وساعت اخلاص,,,,non
source_brute,عظ اشفف >>,عظ اشفف >>,,,,non
source_brute,گال الشراي: <<ال دار ادگيگ افم يعرف اباش إبل >> يل ما كنت,گال الشراي: <<ال دار ادگيگ افم يعرف اباش ابل >> يل ما كنت,,,,non
source_brute,نعرف ان لاه انخلصك ما نسلف من عندك ، وفي الاخير اسلفل كبش و,نعرف ان لاه انخلصك ما نسلف من عندك ، وفي الاخير اسلفل كبش و,,,,non
source_brute,عَظُّ الشَّعْفِ !,عظ الشعف !,,,,non
source_brute,الصوم,الصوم,,,,non
source_brute,صوم آرمضان اركيز الرابع من اركايز الإسلام الخمسة آمع,صوم ارمضان اركيز الرابع من اركايز الاسلام الخمسه امع,,,,non
source_brute,الشهادات الثنتين واصل وازك و الحج .,الشهادات الثنتين واصل وازك و الحج .,,,,non
source_brute,الصوم معناه توگاف لوكيل و اشراب و العلاقة الجنسية,الصوم معناه توگاف لوكيل و اشراب و العلاقه الجنسيه,,,,non
source_brute,من الفجر إلين المغرب عاگب اطياح الشمس.,من الفجر الين المغرب عاگب اطياح الشمس.,,,,non
source_brute,الصائم إعود إحس بان ادخل جو اجديد : احرام اعليه,الصائم اعود احس بان ادخل جو اجديد : احرام اعليه,,,,non
source_brute,يكذب احرام اعليه يزن و ال يوكل الغيبة وال يسرگ,يكذب احرام اعليه يزن و ال يوكل الغيبه وال يسرگ,,,,non
source_brute,معناه ان احرام اعليه كل عمل ما يرضي الله.,معناه ان احرام اعليه كل عمل ما يرضي الله.,,,,non
source_brute,أهمية الصوم,اهميه الصوم,,,,non
source_brute,الصوم إطبب الناس اعلى اصبر و إعود الفقير و المحتاج,الصوم اطبب الناس اعلي اصبر و اعود الفقير و المحتاج,,,,non
source_brute,اعلنهم إكد إفوت يوم ما كال ولا شرب اتاي ولا,اعلنهم اكد افوت يوم ما كال ولا شرب اتاي ولا,,,,non
source_brute,أگماو ولا فكر فينهم يسرگ.,اگماو ولا فكر فينهم يسرگ.,,,,non
source_brute,الموم إعدل الغني إظوگ طعمت الجوع ولعطش و يعرف حرهم,الموم اعدل الغني اظوگ طعمت الجوع ولعطش و يعرف حرهم,,,,non
source_brute,و بالتالي إعود اساعد الفقراء و إصدگ اعليهم بيه ال,و بالتالي اعود اساعد الفقراء و اصدگ اعليهم بيه ال,,,,non
source_brute,اعرف ان الجوع ماه امونك لانهم كان ما قاديلهم شي فيهم,اعرف ان الجوع ماه امونك لانهم كان ما قاديلهم شي فيهم,,,,non
source_brute,إگول المثل :,اگول المثل :,,,,non
source_brute,<<أشعارف البادن للظامر>>,<<اشعارف البادن للظامر>>,,,,non
source_brute,شي من العاداتِ ال تعدل في ا رمضانان,شي من العادات ال تعدل في ا رمضانان,,,,non
source_brute,ما اتلاو يكون أيام آگلال عن إهل شهر آرمضان ، اشهر ال,ما اتلاو يكون ايام اگلال عن اهل شهر ارمضان ، اشهر ال,,,,non
source_brute,إلين إج تتبدل الحيات في كل المسايل ؛,الين اج تتبدل الحيات في كل المسايل ؛,,,,non
source_brute,اتگل الحركة في انهار وتكثر في اليل و إگل لوكيل في,اتگل الحركه في انهار وتكثر في اليل و اگل لوكيل في,,,,non
source_brute,انهار و اشراب والكمي من الفجر إلين إعود المغرب عاگب,انهار و اشراب والكمي من الفجر الين اعود المغرب عاگب,,,,non
source_brute,( اسرة ) اعلى افطورها و إِثم يتحراو آذان لمسيد لياك يفطر ،,( اسره ) اعلي افطورها و اثم يتحراو اذان لمسيد لياك يفطر ،,,,,non
source_brute,الناس الگايل اتعود امكدر ولاه ظاحك بيها ال اعطاش و,الناس الگايل اتعود امكدر ولاه ظاحك بيها ال اعطاش و,,,,non
source_brute,اجياع و اتواري أتاي والدير .,اجياع و اتواري اتاي والدير .,,,,non
source_brute,في شهر آرمضان كل حد ماه موجوع و ال امسافر و بالغ,في شهر ارمضان كل حد ماه موجوع و ال امسافر و بالغ,,,,non
source_brute,فرظ اعليه إصوم أسو راجل وال امرا واسو شاب وال شيبان,فرظ اعليه اصوم اسو راجل وال امرا واسو شاب وال شيبان,,,,non
source_brute,إلين إعود أدحميس اتگوم الناس كامل اتحضر لفطور و ينطرح,الين اعود ادحميس اتگوم الناس كامل اتحضر لفطور و ينطرح,,,,non
source_brute,اتمر و ازريگ و انش واطاجين ويعمر لاتاي واتجمع كل خيمة,اتمر و ازريگ و انش واطاجين ويعمر لاتاي واتجمع كل خيمه,,,,non
source_brute,< اسرة > اعلى افطورها و إتم يتحراو آذان لمسيد لياك يفطر ،,< اسره > اعلي افطورها و اتم يتحراو اذان لمسيد لياك يفطر ،,,,,non
source_brute,إلين إذن لمام تفطر الناس و تعطي ساعه عاگب ذاك و تتعش,الين اذن لمام تفطر الناس و تعطي ساعه عاگب ذاك و تتعش,,,,non
source_brute,و تصهر إلين يلحگ وقت اصحور تشرب انش و آتي و تمسك إلين لفطور.,و تصهر الين يلحگ وقت اصحور تشرب انش و اتي و تمسك الين لفطور.,,,,non
source_brute,حالت السوق في آرمضان سابگ العيد,حالت السوق في ارمضان سابگ العيد,,,,non
source_brute,حد امش في ارمضان وادخل المرص يلحگها املان من كل,حد امش في ارمضان وادخل المرص يلحگها املان من كل,,,,non
source_brute,انواع مرصنديس :,انواع مرصنديس :,,,,non
source_brute,الخضر ، الفواكه و المشروبات ال تعمل في أرمضان.,الخضر ، الفواكه و المشروبات ال تعمل في ارمضان.,,,,non
source_brute,وفي العشراي التالي من اشهر تمتل المرص من الباس كل انواع,وفي العشراي التالي من اشهر تمتل المرص من الباس كل انواع,,,,non
source_brute,ادراريع واتراك واسراويل ولملاحف و الحزم و الرمبيات و انعايل,ادراريع واتراك واسراويل ولملاحف و الحزم و الرمبيات و انعايل,,,,non
source_brute,وكل حد حتم اعليه يشري الباس لاولاد و اعيال و أهل و الناس ال,وكل حد حتم اعليه يشري الباس لاولاد و اعيال و اهل و الناس ال,,,,non
source_brute,وكل راجل عند اسرة لا بدال من يشري كبش و يذبح يوم العيد,وكل راجل عند اسره لا بدال من يشري كبش و يذبح يوم العيد,,,,non
source_brute,و الا عاد إگد يشري الباس و گبش لانساب إعدلها.,و الا عاد اگد يشري الباس و گبش لانساب اعدلها.,,,,non
source_brute,يوم العيد تلبس الناس كامل الباس اجديد و اتظل تطرب و,يوم العيد تلبس الناس كامل الباس اجديد و اتظل تطرب و,,,,non
source_brute,كولها لك واعطي للنيرب عجلتها,كولها لك واعطي للنيرب عجلتها,,,,non
source_brute,گط في الزمن آل فات كانت نيرب وذيب ساكنين في خلو في نكر غابه,گط في الزمن ال فات كانت نيرب وذيب ساكنين في خلو في نكر غابه,,,,non
source_brute,وكانت نيرب عندها بگر والذيب عند اوداش وگانت النيرب ألا هي,وكانت نيرب عندها بگر والذيب عند اوداش وگانت النيرب الا هي,,,,non
source_brute,آل تمشي سارح بگرتها واوداش الذيب .,ال تمشي سارح بگرتها واوداش الذيب .,,,,non
source_brute,إلين عاد اليوم ال لاه تولد فيه بگرت النيرب گال لها الذيب اليوم لاه نمشي ان,الين عاد اليوم ال لاه تولد فيه بگرت النيرب گال لها الذيب اليوم لاه نمشي ان,,,,non
source_brute,آل تمشي سارح بكرتها واوداش الذيب .,ال تمشي سارح بكرتها واوداش الذيب .,,,,non
source_brute,امشي الذيب سارح و ولدت البگر اگبظ ودار الدم علي رجلين اوداش,امشي الذيب سارح و ولدت البگر اگبظ ودار الدم علي رجلين اوداش,,,,non
source_brute,واصگل رجلين البگر وراح يرگص وإغني وإكرر اوداشي اولد ...,واصگل رجلين البگر وراح يرگص واغني واكرر اوداشي اولد ..,,,,non
source_brute,گالت ل النيرب هاذ اولد بگرت يان ولان امخليت لك .,گالت ل النيرب هاذ اولد بگرت يان ولان امخليت لك .,,,,non
source_brute,اتلاو يدايگ وعگب اتوافق اعلنهم إكيس القاضي ، وگاسوه .,اتلاو يدايگ وعگب اتوافق اعلنهم اكيس القاضي ، وگاسوه .,,,,non
source_brute,إلين ال جاووه اعطاهم ميعاد ،,الين ال جاووه اعطاهم ميعاد ،,,,,non
source_brute,جاووه في الميعاد ال گال الهم .,جاووه في الميعاد ال گال الهم .,,,,non
source_brute,لحگوه إنازع .,لحگوه انازع .,,,,non
